source_mat_id_orig,source_mat_id,seq_batch,sea_surf_temp,sea_surf_temp_method,ph,ph_method,sediment_temp,sediment_temp_method,redox_potential,redox_potential_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,chlorophyll,chlorophyll_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,magnesium,magnesium_method,methane,methane_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,oxy_stat_samp,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,particle_class,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,porosity,pressure,pressure_method,sea_surf_salinity,sea_surf_salinity_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,water_current,water_current_method
EMOBON_NRMCB_So_210621_micro_1,EMOBON_NRMCB_So_1,batch_1,25.0495,CTD SBE 19plusV2,NA,NA,14.999,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.9059,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.5864,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So _210621_micro_2,EMOBON_NRMCB_So_2,batch_1,25.0495,CTD SBE 19plusV2,NA,NA,14.999,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.9059,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.5864,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210621_micro_3,EMOBON_NRMCB_So_3,NA,25.0495,CTD SBE 19plusV2,NA,NA,14.999,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.9059,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.5864,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210621_micro_4,EMOBON_NRMCB_So_4,NA,25.0495,CTD SBE 19plusV2,NA,NA,14.999,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.9059,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.5523,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.5864,CTD SBE 19plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210621_micro_blank,EMOBON_NRMCB_So_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210831_micro_1,EMOBON_NRMCB_So_6,batch_1,26.8119,CTD SBE911plusV2,NA,NA,14.9343,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.3863,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9887,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210831_micro_2,EMOBON_NRMCB_So_7,batch_1,26.8119,CTD SBE911plusV2,NA,NA,14.9343,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.3863,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9887,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210831_micro_3,EMOBON_NRMCB_So_8,NA,26.8119,CTD SBE911plusV2,NA,NA,14.9343,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.3863,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9887,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210831_micro_4,EMOBON_NRMCB_So_9,NA,26.8119,CTD SBE911plusV2,NA,NA,14.9343,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.3863,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6438,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9887,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_210831_micro_blank,EMOBON_NRMCB_So_10,batch_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_211026_micro_1,EMOBON_NRMCB_So_11,batch_2,20.7006,CTD SBE911plusV2,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.8526,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,38.1868,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_211026_micro_2,EMOBON_NRMCB_So_12,batch_2,20.7006,CTD SBE911plusV2,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.8526,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,38.1868,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_211026_micro_3,EMOBON_NRMCB_So_13,NA,20.7006,CTD SBE911plusV2,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.8526,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,38.1868,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_211026_micro_4,EMOBON_NRMCB_So_14,NA,20.7006,CTD SBE911plusV2,7.4,Oxyguard probe,17.1384,CTD SBE911plusV2,-151,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.8526,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.4421,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,38.1868,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_NRMCB_So_211026_micro_blank,EMOBON_NRMCB_So_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON _NRMCB_So_211221_micro_1,EMOBON_NRMCB_So_16,batch_2,16.7116,CTD SBE911plusV2,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.6713,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6654,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9033,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON _NRMCB_So_211221_micro_2,EMOBON_NRMCB_So_17,batch_2,16.7116,CTD SBE911plusV2,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.6713,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6654,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9033,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON _NRMCB_So_211221_micro_3,EMOBON_NRMCB_So_18,NA,16.7116,CTD SBE911plusV2,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.6713,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6654,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9033,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON _NRMCB_So_211221_micro_4,EMOBON_NRMCB_So_19,NA,16.7116,CTD SBE911plusV2,7.5,Oxyguard probe,16.6418,CTD SBE911plusV2,-142.5,Oxyguard probe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.6713,SBE43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fluorescence: 0.6654,this is not pigments but fluorescense. chl Turner Design Cyclops 7C),NA,NA,NA,37.9033,CTD SBE911plusV2,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON _NRMCB_So_211221_micro_blank,EMOBON_NRMCB_So_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
